,бій,А3,А3,А3,А3,Б3,Б3,Б3,Б3,В3,В3,В3,В3,Г3,Г3,Г3,Г3,Ґ3,Ґ3,Ґ3,Ґ3,Д3,Д3,Д3,Д3,Е3,Е3,Е3,Е3,Є3,Є3,Є3,Є3,Ж3,Ж3,Ж3,Ж3,З3,З3,З3,З3,И3,И3,И3,И3,І3,І3,І3,І3,Ї3,Ї3,Ї3,Ї3,Й3,Й3,Й3,Й3,К3,К3,К3,К3,Л3,Л3,Л3,Л3,М3,М3,М3,М3,Н3,Н3,Н3,Н3,О3,О3,О3,О3,П3,П3,П3,П3,Р3,Р3,Р3,Р3,С3,С3,С3,С3,Т3,Т3,Т3
,імʼя,Володимир Печерога ,Олексій Чирков ,Олексій Новаков,Дмитро Овчарук,Михайло Коберник,Андрій Штефан,Дмитро Литвинов,Грищук Андрій,Іван Грабовський,Андрій Задворнов,Ігор Самохін,Фомін Олександр ,Денис Лавренюк,Андрій Сметюх,Ксенія Кучерова,Ігор Цвяк,Михайло Осадчий,Тарас Малюх ,Галина Синєока,Вікторія Маландіна ,Адлен Муатс,Євгенія Шевчук,Степан Копчак,Микита Денисенков,Костянтин Ільїн,Поліна Матузевич,Микола Гнідь,Іван Міленін,Костя Каунін,Юлія Глінкіна,Андрій Мартиненко ,Олег Мозяж,Андрій Данченко,Володимир Войтюк ,Євгеній Гурт,Олександр Лісянський ,Павло Ковальський,Олексій Жидких,Олексій Удод ,Юрій Рудик,Олександр Дем'яненко,Євген Боклаг,Олександр Кудрявцев,Максим Уткін,Микола Пручковський,Антон Мартиненко,Валерій Болган,Максим Щербаков,Марта Кальмук ,Кирило Поліщук,Максим Срібний,Олексій Пажун,Володимир Островський ,Сергій Павлюк,Індоіту Олексій,Куліш Олександр,Антон Назаровець,Дмитро Ковриженко,Віталій Пасічний,Байдюк Софія,Хохлов Вадим,Мішель Ладес,Євген Котовський,Черкасов Сергій,Олег Меженський ,Олег Омельченко,Андрій Гахун,Костянтин Пронкевич,Станіслав Мерлян ,Олена Доля,Марія Любчик,Марков Владислав ,Володимир Пономарьов,Анна Овчаренко,Вячеслав Дурбан,Віктор Скляров,Орест Сеньковський,Аліна Рожкова ,Тарас Шевчук,Наталія Лесюк ,Олександр Зінченко,Олексій Вдовиченко ,Оксана Луценко ,Іван Місяць,Михайло Гранік,Павло Муха,Сергій Рева,Микита Садок,Павло Трощенко,Володимир Прокопів,Олексій Нагурський
,примітка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тема,Питання,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Серце,"10. Мати Артьома Сєвєрюхіна пояснила, що син на п’єдесталі не РОБИВ ЦЬОГО, а посилав сердечки своїй команді.

Відповідь: зігував.
Залік: робив нацистського привітання; робив фашистського привітання; робив римського салюту; кидав зігу; і т. ін. за сенсом.
Коментар: на думку тренера, колишній гонщик просто емоційно радів перемозі, пишався собою і командою.
Джерело: https://meduza.io/news/2022/04/11/15-letniy-gonschik-iz-rossii-vskinul-ruku-v-natsistskom-privetstvii-na-piedestale-chempionata-evropy-po-kartingu-ego-mat-skazala-chto-on-poslal-serdechki-komande
Автор: Олександр Мерзлікін (Кривий Ріг)",,,1,,,1,,,,,,1,,,,1,,-1,,1,1,,,,1,,,,1,,,,,,1,,,1,,,,,1,,,,,1,,,1,,1,,,,,,1,,1,,,,1,,,,1,,,,,1,,,,1,,,1,,,,,,,1,1,,
1. Серце,"20. ВОНО двічі відповідає темі. ЙОГО знаходження в Руані серед іншого мало декларувати територіальні претензії.

Відповідь: серце Річарда Левове Серце.
Коментар: у Середньовіччі традиція поховання частин тіла в різних місцях була одним зі способів апропріації території. Хоча, вочевидь, серце Річарда поховали в Руані, щоб воно не зіпсувалося дорогою до Фонтевро.
Джерело: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3584573/
Автор: Олександр Мерзлікін (Кривий Ріг)",,,1,,,-1,,1,-1,1,,,,,1,,,,1,,,,1,-1,,,,,,,,,,,1,,,,,-1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,-1,1,,,,1,,,,,,,,1,,,,,1,
1. Серце,"30. У 2009 році американські кардіологи описали синдром ТАКОГО серця. В юнака, якому не було й 25-и, виявили нетипові шуми та дистрофію клапанів, викликану хронічним запальним процесом. Пізніше з’ясувалося, що юнак народився в Україні.

Відповідь: чорнобильського.
Коментар: дія радіації на дитячий організм спричиняє небачені проблеми з серцем.
Джерело: https://pubmed.ncbi.nlm.nih.gov/19647162/
Автор: Олександр Мерзлікін (Кривий Ріг)",-1,-1,,,1,-1,,,1,,,,1,,,,,,,1,1,,,,,-1,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,-1,-1,,,,,,,,1,,,1,,,,,,1,,1,-1,,,,,,,,,,1,,,1,,,,1
1. Серце,"40. У початковій назві замість НЕЇ фігурувала труна. Автор тоді депресував і навіть працював, закрившись у шафі, щоб дружина не почула.

Відповідь: коробка [у формі серця].
Залік: [Heart-Shaped] Box.
Коментар: пісня Нірвани «Heart-Shaped Box» спочатку мала називатися «Heart-Shaped Coffin». Кобейн працював над нею у 1992 році, ховаючись від Кортні Лав, з якою нещодавно побрався. Застрелився Курт у 1994-му.
Джерела:
1. https://en.wikipedia.org/wiki/Heart-Shaped_Box
2. https://books.google.com.ua/books?id=AqT6DwAAQBAJ&pg=PT272&lpg=PT272
Автор: Олександр Мерзлікін (Кривий Ріг)",,,,,,-1,,,,,,,,,,,,,,,,,,1,,,-1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,1,,,
1. Серце,"50. У натхненній ЦИМ ТВОРОМ серії “Сімпсонів” Барт ховає в сумці відрізану голову, але не може втриматись, щоб самому ж не розкрити сумку.

Відповідь: Серце виказало [Едгара Алана По]
Залік: “The Tell-Tale Heart”
Коментар: у творі Едгара По вбивця сховав труп жертви під дошками підлоги. Але вбивцеві марився стукіт серця жертви і він сам вказує поліцейським де труп.
Джерела:
1. https://uk.wikipedia.org/wiki/Серце_виказало
2. https://transcripts.foreverdreaming.org/viewtopic.php?f=431&t=21868 
Автор: Євген Шляхов (Дніпро)",,,,,,,1,,,,,,,,,1,,,,,,,,-1,,,,,,,1,,1,,,,,-1,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
"2. Прикметники, утворені від країн","10. В рідній країні ЇЇ називають словом “ribbstol” [рібстул] - рама з поперечками.
Відповідь: шведська стінка
Джерело: https://ru.wikipedia.org/wiki/Шведская_стенка
Автор: Євген Шляхов (Дніпро)",,,,1,1,,,,,1,,,,,1,,1,-1,,,,,1,,,,,1,,,1,,,,1,,1,,,,,,1,,1,,,,1,,,,,,1,,1,-1,,,1,,,,,,1,,,1,,,,,,1,,1,,,,,,1,,1,,,,1,
"2. Прикметники, утворені від країн","20. ВІН утворився в ранньому еоцені в результаті розпаду Гондвани і має площу біля 76 мільйонів квадратних кілометрів.
Відповідь: Індійський океан
Джерело: https://uk.wikipedia.org/wiki/Індійський_океан
Автор: Євген Шляхов (Дніпро)",,,,1,1,,,,,,,-1,,,,1,,1,,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,1,,1,,,,1,,,,,-1,1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,1,
