,бій,А1,А1,А1,А1,Б1,Б1,Б1,Б1,В1,В1,В1,В1,Г1,Г1,Г1,Г1,Ґ1,Ґ1,Ґ1,Ґ1,Д1,Д1,Д1,Д1,Е1,Е1,Е1,Е1,Є1,Є1,Є1,Є1,Ж1,Ж1,Ж1,Ж1,З1,З1,З1,З1,И1,И1,И1,И1,І1,І1,І1,І1,Ї1,Ї1,Ї1,Ї1,Й1,Й1,Й1,Й1,К1,К1,К1,К1,Л1,Л1,Л1,Л1,М1,М1,М1,М1,Н1,Н1,Н1,Н1,О1,О1,О1,О1,П1,П1,П1,П1,Р1,Р1,Р1,Р1,С1,С1,С1,С1,Т1,Т1,Т1
,імʼя,Андрій Данченко,Микола Гнідь,Андрій Штефан,Олег Мозяж,Галина Синєока,Михайло Осадчий,Михайло Коберник,Валерій Болган,Олексій Чирков ,Володимир Войтюк ,Ксенія Кучерова,Олександр Кудрявцев,Андрій Задворнов,Євгеній Гурт,Ігор Цвяк,Олександр Дем'яненко,Ігор Самохін,Степан Копчак,Іван Міленін,Тарас Малюх ,Антон Мартиненко,Олексій Удод ,Володимир Печерога ,Микита Денисенков,Андрій Мартиненко ,Вікторія Маландіна ,Андрій Сметюх,Іван Грабовський,Олена Доля,Марков Владислав ,Станіслав Мерлян ,Олексій Жидких,Адлен Муатс,Володимир Островський ,Олексій Вдовиченко ,Андрій Гахун,Олексій Новаков,Максим Уткін,Тарас Шевчук,Наталія Лесюк ,Володимир Пономарьов,Фомін Олександр ,Сергій Павлюк,Віталій Пасічний,Іван Місяць,Орест Сеньковський,Костянтин Ільїн,Кирило Поліщук,Павло Муха,Костя Каунін,Євген Котовський,Юрій Рудик,Рожкова Аліна,Грищук Андрій,Хохлов Вадим,Куліш Олександр,Микола Пручковський,Меженський Олег,Анна Овчаренко,Індоіту Олексій,Павло Трощенко,Дмитро Литвинов,Костянтин Пронкевич,Вячеслав Дурбан,Євген Боклаг,Оксана Луценко ,Михайло Гранік,Байдюк Софія,Черкасов Сергій,Марія Любчик,Дмитро Овчарук,Олександр Лісянський ,Денис Лавренюк,Максим Щербаков,Мішель Ладес,Олексій Пажун,Сергій Рева,Микита Садок,Поліна Матузевич,Володимир Прокопів,Юлія Глінкіна,Максим Срібний,Олексій Нагурський,Антон Назаровець,Павло Ковальський,Віктор Скляров,Марта Кальмук ,Дмитро Ковриженко,Євгенія Шевчук,Олег Омельченко,Олександр Зінченко
,примітка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тема,Питання,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. На “РОЗ…” починається,"10. За ЙОГО замовленням у 1760 році було навіть складено статут Батуринського університету, але справу не вдалося довести до кінця.
Відповідь: [Кирило] Розумовський
Джерело: Батурин був столицею останнього гетьмана Кирила Розумовського. Скасування гетьманщини у 1764 році зірвало плани зі створення Батуринського університету.
Автор: Євген Шляхов (Дніпро)",,,1,,,,,1,,1,,,,,,1,,,,1,,,1,,,1,,,,,,1,,1,,,1,,,,1,,,,,,,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,1,,,,1,,,1,,,,,1,,,1,,,1,,
1. На “РОЗ…” починається,"20. Вважається, що Крістіан, який мав ЦЕ ПРІЗВИЩЕ наприкінці чотирнадцятого століття побував у Сирії, Єгипті та Марокко, де вивчав магію і кабалістику.
Відповідь: Розенкрейц
Залік: Розенкрейцер
Не залік: Розенкранц
Коментар: і, повернувшись до німеччини, заснував орден Розенкрейцерів.
Джерело: https://uk.wikipedia.org/wiki/Розенкрейцери
Автор: Євген Шляхов (Дніпро)",,-1,1,,,-1,,-1,-1,-1,,,,-1,,,-1,,-1,,1,,,,,,,1,,-1,,,1,-1,,,1,,,,1,,,,,,,,1,,,-1,,,,,-1,,-1,,,1,,,,,,,-1,,,,,-1,,,-1,,,,,1,,,,-1,,,,,-1
1. На “РОЗ…” починається,"30. ЦЕ МІСТЕЧКО було засноване у 1863 році під час будівництва залізниці Одеса-Балта у місці, де від головного напрямку відокремлювались рейки на Тирасполь.
Відповідь: Роздільна
Коментар: залізниця тут розділялась, звідси і назва. 
Джерело: https://uk.wikipedia.org/wiki/Роздільна
Автор: Євген Шляхов (Дніпро)",,,1,-1,,,,1,,,,,,,,,,,-1,,,,1,,,,,1,,,,,1,-1,,,,1,,,-1,,,,,,1,,,,1,,,,,1,1,,,,1,,,,,,,-1,-1,,,1,1,,,,,,,,1,,,,,,,,,1,
1. На “РОЗ…” починається,"40. Угорське слово “гусар” походить від візантійського слова, яке має ЦІ ДВА ЗНАЧЕННЯ, що обидва задовільняють темі. Що ж, легкі вершники могли як турбувати державу, так і служити у війську.
Відповідь: розбійник, розвідник
Залік: розбишака замість розбійник
Джерело: https://uk.wikipedia.org/wiki/Гусари_(рід_кавалерії)
Автор: Євген Шляхов (Дніпро)",,,,,,,1,,,,,,,,-1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,-1,,,,,
1. На “РОЗ…” починається,"50. Автономна частина САМЕ ЦЬОГО отримала назву на честь острівця на Нілі.
Відповідь: Розетта
Не залік: розетський камінь
Коментар: космічний апарат відправлений до комети Чурюмова-Герасименко. На честь острова Філи названо спускний модуль, який безпосередньо здійснив посадку на комету.
Джерело: https://uk.wikipedia.org/wiki/Розетта_(космічний_апарат)
Автор: Євген Шляхов (Дніпро)",,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2. Острівна,"10. Вважається, що ЇХНЯ славетна войовничість почала формуватися близько 1500 року, коли на островах не стало легкої здобичі, такої як моа.

Відповідь: ма́орі.
Коментар: перші років 200 людям в Новій Зеландії жилося порівняно просто: основу їхнього раціону, як вважається, складали моа. Коли ж їх винищили, маорі довелося перекваліфікуватися з мисливців у землеробів, збирачів, воїнів та канібалів.
Джерело: https://en.wikipedia.org/wiki/History_of_New_Zealand#M%C4%81ori_arrival_and_settlement
Автор: Олександр Мерзлікін (Кривий Ріг)",,,1,,,,-1,1,,-1,-1,1,-1,,1,,,1,,,,1,,-1,,,,1,,,,,1,,,,1,,,-1,,1,,,,1,,,,,,,,,1,,,1,,,,1,-1,,,,,,1,,,,,-1,1,,,1,,,,-1,-1,1,,,,,,1,
2. Острівна,"20. Вейд Робсон згадує, що неодноразово бачив, як господар маєтку з острівною назвою мастурбує на постер ЦЬОГО МУЛЬТФІЛЬМУ.

Відповідь: Пітер Пен.
Коментар: Вейд Робсон – один з героїв фільму «Покидаючи Неверленд». У ньому Вейд розказує про те, як став жертвою сексуального насильства з боку Майкла Джексона. Маєток Джексона називався Неверлендом на честь міфічного острова з романів Баррі.
Джерело: https://www.thesun.co.uk/news/8567348/michael-jackson-peter-pan-mannequin-molesting-wade-robson-sex-accuser/
Автор: Олександр Мерзлікін (Кривий Ріг)",1,,,,,1,,,,,-1,,1,,,,,,,-1,1,,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,-1,,,,-1,,,1,,
2. Острівна,"30. Герой роману «Інший ВІН», написаного майже за сто років після оригінального твору, очолює секретну урядову програму зі створення раси, здатної пережити ядерну війну.

Відповідь: острів доктора Моро.
Коментар: роман Браяна Олдіса датований 1980 роком, коли всі боялися ядерної війни майже так само сильно, як сьогодні. Ідейний послідовник доктора Моро усамітнюється на острові, де створює гібридів людей та тварин.
Джерело: https://deathrobotsfrommars.wordpress.com/2014/06/04/moreaus-other-island-brian-w-aldiss-1980/
Автор: Олександр Мерзлікін (Кривий Ріг)",1,,,,,1,,,1,,,,1,,,,1,,,,,,,1,,,,1,,-1,,1,,,,1,-1,,1,,1,-1,,,1,,,-1,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,-1,,,-1,1,,,,,1,,,,1,,,-1
2. Острівна,"40. Згідно з однією рецензією на маловідомий фільм жахів під назвою «ВІН», тупі й самовпевнені туристи блукають джунглями. Справжні ж хазяї землі не зводять з туристів очей, що не кліпають, і одного за одним холоднокровно вбивають прибульців.

Відповідь: острів Зміїний.
Залік: Зміїний острів.
Коментар: критики сходяться на тому, що фільм дуже поганий. Добре, що Богдан Шевченко, посилання на канал якого ви можете попросити у ведучого, подивився його за нас усіх.
Джерело: https://t.me/paracadrov/2423
Автор: Олександр Мерзлікін (Кривий Ріг)",-1,,,,1,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,1,,,,,-1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,-1,
2. Острівна,"50. Основними причинами закриття ЦЬОГО стали зниження надійності через підмивання солоною водою та висока ціна утримання.

Відповідь: в’язниця Алькатрас.
Залік: в’язниця на острові Алькатрас; алькатрасська в’язниця; Алькатрас.
Коментар: через ерозію будівель у 1962 році з в’язниці втекло троє злочинців, а через незручну логістику утримання бранця обходилося державі втричі дорожче, ніж в інших тюрмах.
Джерело: https://en.wikipedia.org/wiki/Alcatraz_Island#Closing_of_the_prison
Автор: Олександр Мерзлікін (Кривий Ріг)",,,,-1,,,,-1,,1,,,,,1,,,-1,,,-1,,,,-1,,,,,,,1,1,,,,,,,,-1,1,,,-1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1,,,,,
